date,rate
2010-12-09,0.211946
2010-12-10,0.210226
2010-12-11,0.209415
2010-12-14,0.209809
2010-12-15,0.208601
2010-12-16,0.208334
2010-12-17,0.208515
2010-12-18,0.207941
2010-12-21,0.208854
2010-12-22,0.208610
2010-12-23,0.208736
2010-12-24,0.207870
2010-12-25,0.207659
2010-12-28,0.206444
2010-12-29,0.205324
2010-12-30,0.205965
2010-12-31,0.206791
2011-01-01,0.205829
2011-01-12,0.207981
2011-01-13,0.206352
2011-01-14,0.204593
2011-01-15,0.203734
2011-01-18,0.204473
2011-01-19,0.203307
2011-01-20,0.202982
2011-01-21,0.203640
2011-01-22,0.204260
2011-01-25,0.203280
2011-01-26,0.202976
2011-01-27,0.202825
2011-01-28,0.202165
2011-01-29,0.202115
2011-02-01,0.202720
2011-02-02,0.201898
2011-02-03,0.200388
2011-02-04,0.199999
2011-02-05,0.200283
2011-02-08,0.200170
2011-02-09,0.199509
2011-02-10,0.200102
2011-02-11,0.200523
2011-02-12,0.200253
2011-02-15,0.199824
2011-02-16,0.200116
2011-02-17,0.200044
2011-02-18,0.199984
2011-02-19,0.200168
2011-02-22,0.199472
2011-02-23,0.200321
2011-02-25,0.199720
2011-02-26,0.198229
2011-03-01,0.197992
2011-03-02,0.197154
2011-03-03,0.196322
2011-03-04,0.194311
2011-03-05,0.193532
2011-03-06,0.193487
2011-03-10,0.194364
2011-03-11,0.195313
2011-03-12,0.196383
2011-03-15,0.196342
2011-03-16,0.196796
2011-03-17,0.196680
2011-03-18,0.197141
2011-03-19,0.195230
2011-03-22,0.194404
2011-03-23,0.192956
2011-03-24,0.193736
2011-03-25,0.194604
2011-03-26,0.194011
2011-03-29,0.195151
2011-03-30,0.194554
2011-03-31,0.195073
2011-04-01,0.195672
2011-04-02,0.194718
2011-04-05,0.193652
2011-04-06,0.194366
2011-04-07,0.194067
2011-04-08,0.194118
2011-04-09,0.193378
2011-04-12,0.192346
2011-04-13,0.193574
2011-04-14,0.193386
2011-04-15,0.193996
2011-04-16,0.194234
2011-04-19,0.193751
2011-04-20,0.195349
2011-04-21,0.193388
2011-04-22,0.192290
2011-04-23,0.192282
2011-04-26,0.192507
2011-04-27,0.191728
2011-04-28,0.190542
2011-04-29,0.188890
2011-04-30,0.188863
2011-05-04,0.187488
2011-05-05,0.187667
2011-05-06,0.187217
2011-05-07,0.189814
2011-05-11,0.191069
2011-05-12,0.189615
2011-05-13,0.191767
2011-05-14,0.191079
2011-05-17,0.192940
2011-05-18,0.192911
2011-05-19,0.192694
2011-05-20,0.192283
2011-05-21,0.192103
2011-05-24,0.195144
2011-05-25,0.195645
2011-05-26,0.196065
2011-05-27,0.194421
2011-05-28,0.193434
2011-05-31,0.193189
2011-06-01,0.192405
2011-06-02,0.192380
2011-06-03,0.192715
2011-06-04,0.191476
2011-06-07,0.190895
2011-06-08,0.190977
2011-06-09,0.190279
2011-06-10,0.190394
2011-06-11,0.190969
2011-06-15,0.191367
2011-06-16,0.191460
2011-06-17,0.193427
2011-06-18,0.193045
2011-06-21,0.192956
2011-06-22,0.191908
2011-06-23,0.191154
2011-06-24,0.192150
2011-06-25,0.192749
2011-06-28,0.193758
2011-06-29,0.192910
2011-06-30,0.192044
2011-07-01,0.191105
2011-07-02,0.191040
2011-07-05,0.190658
2011-07-06,0.191309
2011-07-07,0.191557
2011-07-08,0.192286
2011-07-09,0.191664
2011-07-12,0.192857
2011-07-13,0.194180
2011-07-14,0.193320
2011-07-15,0.191949
2011-07-16,0.192642
2011-07-19,0.193149
2011-07-20,0.192364
2011-07-21,0.191510
2011-07-22,0.190830
2011-07-23,0.189816
2011-07-26,0.190165
2011-07-27,0.189300
2011-07-28,0.188501
2011-07-29,0.188842
2011-07-30,0.189139
2011-08-02,0.188142
2011-08-03,0.190327
2011-08-04,0.190571
2011-08-05,0.190121
2011-08-06,0.193309
2011-08-09,0.194351
2011-08-10,0.200215
2011-08-11,0.199500
2011-08-12,0.199946
2011-08-13,0.200171
2011-08-16,0.196183
2011-08-17,0.195626
2011-08-18,0.196139
2011-08-19,0.197618
2011-08-20,0.199529
2011-08-23,0.199894
2011-08-24,0.197785
2011-08-25,0.197416
2011-08-26,0.197217
2011-08-27,0.197191
2011-08-30,0.195951
2011-08-31,0.197144
2011-09-01,0.197338
2011-09-02,0.196960
2011-09-03,0.198067
2011-09-06,0.199820
2011-09-07,0.201468
2011-09-08,0.200725
2011-09-09,0.200718
2011-09-10,0.201804
2011-09-13,0.205691
2011-09-14,0.204860
2011-09-15,0.206146
2011-09-16,0.207399
2011-09-17,0.207558
2011-09-20,0.209701
2011-09-21,0.213779
2011-09-22,0.213130
2011-09-23,0.216255
2011-09-24,0.217389
2011-09-27,0.219634
2011-09-28,0.218234
2011-09-29,0.215343
2011-09-30,0.215511
2011-10-01,0.216864
2011-10-04,0.219921
2011-10-05,0.220616
2011-10-06,0.220151
2011-10-07,0.219134
2011-10-08,0.217028
2011-10-11,0.216048
2011-10-12,0.212180
2011-10-13,0.212436
2011-10-14,0.211320
2011-10-15,0.209764
2011-10-18,0.207767
2011-10-19,0.209366
2011-10-20,0.209184
2011-10-21,0.212126
2011-10-22,0.211716
2011-10-25,0.208302
2011-10-26,0.206117
2011-10-27,0.206659
2011-10-28,0.204546
2011-10-29,0.202628
2011-11-01,0.203840
2011-11-02,0.207052
2011-11-03,0.207255
2011-11-04,0.208644
2011-11-08,0.206459
2011-11-09,0.206091
2011-11-10,0.203614
2011-11-11,0.208288
2011-11-12,0.206077
2011-11-15,0.204435
2011-11-16,0.206827
2011-11-17,0.208291
2011-11-18,0.207646
2011-11-19,0.208884
2011-11-22,0.209394
2011-11-23,0.210492
2011-11-24,0.211867
2011-11-25,0.213512
2011-11-26,0.214515
2011-11-29,0.212932
2011-11-30,0.212084
2011-12-01,0.212572
2011-12-02,0.208924
2011-12-03,0.208760
2011-12-06,0.209296
2011-12-07,0.210658
2011-12-08,0.210940
2011-12-09,0.211433
2011-12-10,0.213586
2011-12-13,0.212432
2011-12-14,0.214083
2011-12-15,0.214632
2011-12-16,0.215293
2011-12-17,0.214337
2011-12-20,0.216106
2011-12-21,0.216151
2011-12-22,0.214872
2011-12-23,0.213043
2011-12-24,0.210914
2011-12-27,0.210777
2011-12-28,0.209572
2011-12-29,0.212762
2011-12-30,0.216232
2011-12-31,0.216874
2012-01-11,0.214517
2012-01-12,0.213513
2012-01-13,0.213374
2012-01-14,0.213111
2012-01-17,0.215141
2012-01-18,0.212643
2012-01-19,0.212689
2012-01-20,0.212286
2012-01-21,0.210863
2012-01-24,0.211114
2012-01-25,0.207921
2012-01-26,0.206394
2012-01-27,0.204603
