date,value
2018-01-10,0.172671
2018-01-11,0.172187
2018-01-12,0.172479
2018-01-13,0.171737
2018-01-16,0.170983
2018-01-17,0.172098
2018-01-18,0.173233
2018-01-19,0.17475
2018-01-20,0.174362
2018-01-23,0.174705
2018-01-24,0.174654
2018-01-25,0.175877
2018-01-26,0.174799
2018-01-27,0.174193
2018-01-30,0.174626
2018-01-31,0.174425
2018-02-01,0.17416
2018-02-02,0.174337
2018-02-03,0.174161
2018-02-06,0.175767
2018-02-07,0.17644
2018-02-08,0.175809
2018-02-09,0.177019
2018-02-10,0.177651
2018-02-13,0.17768
2018-02-14,0.178799
2018-02-15,0.17851
2018-02-16,0.176789
2018-02-17,0.17632
2018-02-20,0.176444
2018-02-21,0.17688
2018-02-22,0.177292
2018-02-23,0.177488
2018-02-27,0.175256
2018-02-28,0.17455
2018-03-01,0.175963
2018-03-02,0.175474
2018-03-03,0.175842
2018-03-07,0.176951
2018-03-08,0.177515
2018-03-13,0.176464
2018-03-14,0.177059
2018-03-15,0.176843
2018-03-16,0.177107
2018-03-17,0.17818
2018-03-20,0.179685
2018-03-21,0.179901
2018-03-22,0.179197
2018-03-23,0.177152
2018-03-24,0.177987
2018-03-27,0.178447
2018-03-28,0.179358
2018-03-29,0.180297
2018-03-30,0.181102
2018-03-31,0.179829
2018-04-03,0.179372
2018-04-04,0.179589
2018-04-05,0.180512
2018-04-06,0.180147
2018-04-07,0.180963
2018-04-10,0.182722
2018-04-11,0.190646
2018-04-12,0.193458
2018-04-13,0.188527
2018-04-14,0.187949
2018-04-17,0.18884
2018-04-18,0.186277
2018-04-19,0.187865
2018-04-20,0.186957
2018-04-21,0.188004
2018-04-24,0.188773
2018-04-25,0.189259
2018-04-26,0.189128
2018-04-27,0.190629
2018-04-28,0.191404
2018-04-29,0.189546
2018-05-04,0.192382
2018-05-05,0.19213
2018-05-08,0.190278
2018-05-09,0.191164
2018-05-11,0.191228
2018-05-12,0.189056
2018-05-15,0.188333
2018-05-16,0.188715
2018-05-17,0.18926
2018-05-18,0.188564
2018-05-19,0.188404
2018-05-22,0.189939
2018-05-23,0.187145
2018-05-24,0.188613
2018-05-25,0.188403
2018-05-26,0.188121
2018-05-29,0.188726
2018-05-30,0.189793
2018-05-31,0.189531
2018-06-01,0.188281
2018-06-02,0.18806
2018-06-05,0.187349
2018-06-06,0.187057
2018-06-07,0.186879
2018-06-08,0.185431
2018-06-09,0.187539
2018-06-10,0.186413
2018-06-14,0.187816
2018-06-15,0.185354
2018-06-16,0.186286
2018-06-19,0.187047
2018-06-20,0.188173
2018-06-21,0.186365
2018-06-22,0.186917
2018-06-23,0.185742
2018-06-26,0.185659
2018-06-27,0.185248
2018-06-28,0.18531
2018-06-29,0.185194
2018-06-30,0.183843
2018-07-03,0.184667
2018-07-04,0.184469
2018-07-05,0.184248
2018-07-06,0.184167
2018-07-07,0.183602
2018-07-10,0.182925
2018-07-11,0.181971
2018-07-12,0.180822
2018-07-13,0.180533
2018-07-14,0.181141
2018-07-17,0.181797
2018-07-18,0.181934
2018-07-19,0.182284
2018-07-20,0.183049
2018-07-21,0.183126
2018-07-24,0.182861
2018-07-25,0.182435
2018-07-26,0.18218
2018-07-27,0.181865
2018-07-28,0.181681
2018-07-31,0.180997
2018-08-01,0.179576
2018-08-02,0.179504
2018-08-03,0.180486
2018-08-04,0.181398
2018-08-07,0.18204
2018-08-08,0.182013
2018-08-09,0.182346
2018-08-10,0.186214
2018-08-11,0.187277
2018-08-14,0.187674
2018-08-15,0.184239
2018-08-16,0.183835
2018-08-17,0.185392
2018-08-18,0.185647
2018-08-21,0.186029
2018-08-22,0.185971
2018-08-23,0.186384
2018-08-24,0.189178
2018-08-25,0.18798
2018-08-28,0.186394
2018-08-29,0.186405
2018-08-30,0.187428
2018-08-31,0.187229
2018-09-01,0.187126
2018-09-04,0.18523
2018-09-05,0.185536
2018-09-06,0.184596
2018-09-07,0.183061
2018-09-08,0.183694
2018-09-11,0.184481
2018-09-12,0.18408
2018-09-13,0.18424
2018-09-14,0.183066
2018-09-15,0.182632
2018-09-18,0.183381
2018-09-19,0.183844
2018-09-20,0.18571
2018-09-21,0.185742
2018-09-22,0.1874
2018-09-25,0.185359
2018-09-26,0.184137
2018-09-27,0.182597
2018-09-28,0.182027
2018-09-29,0.180626
2018-10-02,0.18016
2018-10-03,0.180182
2018-10-04,0.179772
2018-10-05,0.180079
2018-10-06,0.178395
2018-10-09,0.179213
2018-10-10,0.178273
2018-10-11,0.179368
2018-10-12,0.179917
2018-10-13,0.177984
