date,value
2017-01-10,0.180764
2017-01-11,0.180021
2017-01-12,0.180051
2017-01-13,0.179083
2017-01-14,0.178718
2017-01-17,0.17868
2017-01-18,0.178713
2017-01-19,0.17899
2017-01-20,0.179284
2017-01-21,0.17962
2017-01-24,0.179695
2017-01-25,0.18007
2017-01-26,0.180332
2017-01-27,0.181572
2017-01-28,0.183434
2017-01-31,0.18415
2017-02-01,0.185743
2017-02-02,0.185838
2017-02-03,0.184532
2017-02-04,0.18335
2017-02-07,0.182401
2017-02-08,0.182992
2017-02-09,0.183286
2017-02-10,0.181986
2017-02-11,0.182083
2017-02-14,0.180412
2017-02-15,0.179077
2017-02-16,0.177618
2017-02-17,0.179108
2017-02-18,0.181032
2017-02-21,0.181964
2017-02-22,0.182546
2017-02-23,0.18368
2017-02-28,0.185236
2017-03-01,0.185377
2017-03-02,0.185925
2017-03-03,0.185168
2017-03-04,0.18552
2017-03-07,0.184421
2017-03-08,0.185044
2017-03-10,0.185493
2017-03-11,0.186485
2017-03-14,0.186136
2017-03-15,0.185224
2017-03-16,0.185394
2017-03-17,0.183517
2017-03-18,0.183773
2017-03-21,0.181493
2017-03-22,0.181327
2017-03-23,0.182606
2017-03-24,0.182248
2017-03-25,0.181334
2017-03-28,0.180154
2017-03-29,0.180771
2017-03-30,0.180957
2017-03-31,0.1791
2017-04-01,0.178432
2017-04-04,0.178968
2017-04-05,0.180905
2017-04-06,0.179168
2017-04-07,0.180526
2017-04-08,0.181572
2017-04-11,0.183808
2017-04-12,0.18293
2017-04-13,0.181979
2017-04-14,0.181597
2017-04-15,0.181128
2017-04-18,0.180977
2017-04-19,0.180064
2017-04-20,0.18037
2017-04-21,0.180559
2017-04-22,0.179654
2017-04-25,0.179773
2017-04-26,0.178897
2017-04-27,0.180159
2017-04-28,0.181412
2017-04-29,0.181226
2017-05-03,0.180573
2017-05-04,0.180911
2017-05-05,0.182228
2017-05-06,0.184053
2017-05-11,0.182448
2017-05-12,0.180959
2017-05-13,0.181028
2017-05-16,0.180591
2017-05-17,0.180316
2017-05-18,0.180992
2017-05-19,0.183227
2017-05-20,0.18308
2017-05-23,0.181902
2017-05-24,0.181246
2017-05-25,0.180871
2017-05-26,0.180507
2017-05-27,0.182275
2017-05-30,0.182566
2017-05-31,0.18158
2017-06-01,0.181531
2017-06-02,0.181047
2017-06-03,0.180594
2017-06-06,0.181027
2017-06-07,0.181069
2017-06-08,0.180916
2017-06-09,0.181321
2017-06-10,0.180626
2017-06-14,0.180105
2017-06-15,0.180145
2017-06-16,0.180746
2017-06-17,0.180279
2017-06-20,0.181007
2017-06-21,0.181774
2017-06-22,0.183523
2017-06-23,0.183471
2017-06-24,0.182947
2017-06-27,0.181887
2017-06-28,0.182604
2017-06-29,0.184142
2017-06-30,0.183752
2017-07-01,0.183719
2017-07-04,0.184173
2017-07-05,0.183637
2017-07-06,0.183667
2017-07-07,0.185599
2017-07-08,0.18602
2017-07-11,0.184611
2017-07-12,0.185417
2017-07-13,0.184488
2017-07-14,0.183523
2017-07-15,0.182543
2017-07-18,0.181191
2017-07-19,0.182099
2017-07-20,0.18162
2017-07-21,0.181365
2017-07-22,0.181244
2017-07-25,0.182335
2017-07-26,0.182884
2017-07-27,0.183265
2017-07-28,0.182248
2017-07-29,0.182127
2017-08-01,0.182184
2017-08-02,0.181212
2017-08-03,0.180092
2017-08-04,0.180751
2017-08-05,0.181397
2017-08-08,0.180968
2017-08-09,0.180479
2017-08-10,0.18018
2017-08-11,0.180324
2017-08-12,0.180526
2017-08-15,0.179784
2017-08-16,0.179914
2017-08-17,0.179224
2017-08-18,0.178067
2017-08-19,0.178294
2017-08-22,0.177662
2017-08-23,0.177328
2017-08-24,0.177337
2017-08-25,0.178295
2017-08-26,0.177813
2017-08-29,0.175306
2017-08-30,0.1746
2017-08-31,0.175135
2017-09-01,0.173291
2017-09-02,0.171755
2017-09-05,0.170722
2017-09-06,0.169843
2017-09-07,0.167981
2017-09-08,0.170451
2017-09-09,0.170142
2017-09-12,0.16963
2017-09-13,0.168565
2017-09-14,0.170517
2017-09-15,0.17073
2017-09-16,0.169571
2017-09-19,0.169416
2017-09-20,0.170367
2017-09-21,0.170115
2017-09-22,0.170971
2017-09-23,0.169345
2017-09-26,0.168605
2017-09-27,0.1692
2017-09-28,0.170673
2017-09-29,0.171499
2017-09-30,0.170075
2017-10-03,0.169382
2017-10-04,0.169262
2017-10-05,0.167996
2017-10-06,0.166873
2017-10-07,0.168167
2017-10-10,0.170797
2017-10-11,0.172168
2017-10-12,0.17269
2017-10-13,0.172558
2017-10-14,0.172398
2017-10-17,0.171365
2017-10-18,0.171883
2017-10-19,0.171651
2017-10-20,0.172241
2017-10-21,0.171459
2017-10-24,0.170977
2017-10-25,0.172078
2017-10-26,0.172714
2017-10-27,0.172986
2017-10-28,0.173593
2017-10-31,0.173656
2017-11-01,0.173639
2017-11-02,0.173506
2017-11-03,0.173433
2017-11-04,0.17486
2017-11-08,0.175466
2017-11-09,0.177762
2017-11-10,0.177976
2017-11-11,0.17831
2017-11-14,0.177965
2017-11-15,0.179213
2017-11-16,0.181039
2017-11-17,0.180543
2017-11-18,0.179505
2017-11-21,0.179259
2017-11-22,0.179979
2017-11-23,0.178698
2017-11-24,0.177139
2017-11-25,0.177114
2017-11-28,0.176038
2017-11-29,0.17618
2017-11-30,0.17612
2017-12-01,0.176847
2017-12-02,0.176645
2017-12-05,0.177129
2017-12-06,0.176201
2017-12-07,0.176669
2017-12-08,0.177102
2017-12-09,0.17725
2017-12-12,0.176725
2017-12-13,0.175656
2017-12-14,0.176298
2017-12-15,0.175264
2017-12-16,0.175647
2017-12-19,0.174869
2017-12-20,0.174624
2017-12-21,0.174943
2017-12-22,0.175473
2017-12-23,0.175389
2017-12-26,0.174601
2017-12-27,0.173768
2017-12-28,0.173254
2017-12-29,0.173621
2017-12-30,0.173184
