date,value
2016-01-01,0.213821
2016-01-12,0.212064
2016-01-13,0.208617
2016-01-14,0.210573
2016-01-15,0.210315
2016-01-16,0.213779
2016-01-19,0.208834
2016-01-20,0.211793
2016-01-21,0.211362
2016-01-22,0.217205
2016-01-23,0.209958
2016-01-26,0.207712
2016-01-27,0.215251
2016-01-28,0.20973
2016-01-29,0.20865
2016-01-30,0.206961
2016-02-02,0.211636
2016-02-03,0.211414
2016-02-04,0.212771
2016-02-05,0.209873
2016-02-06,0.211835
2016-02-09,0.213152
2016-02-10,0.218405
2016-02-11,0.219733
2016-02-12,0.219457
2016-02-13,0.215697
2016-02-16,0.215993
2016-02-17,0.213512
2016-02-18,0.217038
2016-02-19,0.215577
2016-02-20,0.215908
2016-02-21,0.218197
2016-02-25,0.218972
2016-02-26,0.218496
2016-02-27,0.214734
2016-03-01,0.21701
2016-03-02,0.212932
2016-03-03,0.212619
2016-03-04,0.213624
2016-03-05,0.212021
2016-03-10,0.209823
2016-03-11,0.206677
2016-03-12,0.20438
2016-03-15,0.204281
2016-03-16,0.205389
2016-03-17,0.20429
2016-03-18,0.197721
2016-03-19,0.197867
2016-03-22,0.199157
2016-03-23,0.196169
2016-03-24,0.195777
2016-03-25,0.198614
2016-03-26,0.199448
2016-03-29,0.199004
2016-03-30,0.19977
2016-03-31,0.197297
2016-04-01,0.197414
2016-04-02,0.195838
2016-04-05,0.199556
2016-04-06,0.199346
2016-04-07,0.198884
2016-04-08,0.198295
2016-04-09,0.198375
2016-04-12,0.199658
2016-04-13,0.197589
2016-04-14,0.197064
2016-04-15,0.198627
2016-04-16,0.197651
2016-04-19,0.200568
2016-04-20,0.195205
2016-04-21,0.195539
2016-04-22,0.195665
2016-04-23,0.197712
2016-04-26,0.19949
2016-04-27,0.199418
2016-04-28,0.196926
2016-04-29,0.196717
2016-04-30,0.196618
2016-05-05,0.199259
2016-05-06,0.196657
2016-05-07,0.197768
2016-05-11,0.198586
2016-05-12,0.19882
2016-05-13,0.197101
2016-05-14,0.197375
2016-05-17,0.198057
2016-05-18,0.196542
2016-05-19,0.197113
2016-05-20,0.197745
2016-05-21,0.197882
2016-05-24,0.199185
2016-05-25,0.199237
2016-05-26,0.196087
2016-05-27,0.195682
2016-05-28,0.196853
2016-05-31,0.196367
2016-06-01,0.19654
2016-06-02,0.197661
2016-06-03,0.197582
2016-06-04,0.19798
2016-06-07,0.196331
2016-06-08,0.195412
2016-06-09,0.1951
2016-06-10,0.192755
2016-06-11,0.193227
2016-06-15,0.194956
2016-06-16,0.194959
2016-06-17,0.194734
2016-06-18,0.193252
2016-06-21,0.191498
2016-06-22,0.191251
2016-06-23,0.189088
2016-06-24,0.191233
2016-06-25,0.1937
2016-06-28,0.192087
2016-06-29,0.190956
2016-06-30,0.18955
2016-07-01,0.189448
2016-07-02,0.189331
2016-07-05,0.188641
2016-07-06,0.190637
2016-07-07,0.191691
2016-07-08,0.189752
2016-07-09,0.189917
2016-07-12,0.190274
2016-07-13,0.188671
2016-07-14,0.188513
2016-07-15,0.187599
2016-07-16,0.186275
2016-07-19,0.186006
2016-07-20,0.185973
2016-07-21,0.186898
2016-07-22,0.186206
2016-07-23,0.189065
2016-07-26,0.188579
2016-07-27,0.186501
2016-07-28,0.187349
2016-07-29,0.187102
2016-07-30,0.190273
2016-08-02,0.187269
2016-08-03,0.188934
2016-08-04,0.188428
2016-08-05,0.188606
2016-08-06,0.187783
2016-08-09,0.187025
2016-08-10,0.187026
2016-08-11,0.187026
2016-08-12,0.186962
2016-08-13,0.186764
2016-08-16,0.186976
2016-08-17,0.186073
2016-08-18,0.187219
2016-08-19,0.187197
2016-08-20,0.188708
2016-08-23,0.189267
2016-08-24,0.190518
2016-08-25,0.190995
2016-08-26,0.19131
2016-08-27,0.191055
2016-08-30,0.191923
2016-08-31,0.191399
2016-09-01,0.191699
2016-09-02,0.191284
2016-09-03,0.19253
2016-09-06,0.190193
2016-09-07,0.190861
2016-09-08,0.190958
2016-09-09,0.189656
2016-09-10,0.190027
2016-09-13,0.192555
2016-09-14,0.192047
2016-09-15,0.191841
2016-09-16,0.192004
2016-09-17,0.19133
2016-09-20,0.191243
2016-09-21,0.190689
2016-09-22,0.19018
2016-09-23,0.188804
2016-09-24,0.189199
2016-09-27,0.189668
2016-09-28,0.189025
2016-09-29,0.189582
