date,value
2020-01-01,0.161665
2020-01-10,0.162524
2020-01-11,0.162192
2020-01-14,0.161098
2020-01-15,0.161775
2020-01-16,0.16206
2020-01-17,0.163176
2020-01-18,0.163535
2020-01-21,0.16342
2020-01-22,0.163998
2020-01-23,0.163921
2020-01-24,0.163904
2020-01-25,0.163252
2020-01-28,0.163821
2020-01-29,0.16494
2020-01-30,0.164837
2020-01-31,0.166092
2020-02-01,0.166537
2020-02-04,0.167751
2020-02-05,0.167207
2020-02-06,0.166588
2020-02-07,0.166431
2020-02-08,0.167572
2020-02-11,0.168361
2020-02-12,0.169032
2020-02-13,0.167549
2020-02-14,0.168785
2020-02-15,0.167833
2020-02-18,0.16794
2020-02-19,0.169052
2020-02-20,0.168766
2020-02-21,0.169426
2020-02-22,0.170777
2020-02-26,0.172127
2020-02-27,0.173201
2020-02-28,0.172668
2020-02-29,0.175541
2020-03-03,0.174076
2020-03-04,0.174679
2020-03-05,0.173971
2020-03-06,0.173795
2020-03-07,0.176482
2020-03-11,0.181834
2020-03-12,0.180448
2020-03-13,0.185031
2020-03-14,0.180054
2020-03-17,0.170176
2020-03-18,0.169439
2020-03-19,0.175053
2020-03-20,0.175348
2020-03-21,0.174352
2020-03-24,0.180489
2020-03-25,0.175954
2020-03-26,0.173596
2020-03-27,0.176456
2020-03-28,0.174278
2020-04-07,0.173999
2020-04-08,0.172656
2020-04-09,0.173788
2020-04-10,0.172467
2020-04-11,0.171386
2020-04-14,0.171816
2020-04-15,0.172131
2020-04-16,0.172887
2020-04-17,0.17451
2020-04-18,0.173283
2020-04-21,0.174402
2020-04-22,0.176468
2020-04-23,0.176045
2020-04-24,0.173859
2020-04-25,0.172705
2020-04-28,0.172794
2020-04-29,0.172853
2020-04-30,0.171546
2020-05-01,0.171298
2020-05-07,0.175722
2020-05-08,0.175649
2020-05-09,0.17507
2020-05-13,0.174648
2020-05-14,0.174485
2020-05-15,0.17475
2020-05-16,0.174108
2020-05-19,0.174819
2020-05-20,0.174329
2020-05-21,0.174116
2020-05-22,0.171748
2020-05-23,0.172702
2020-05-26,0.172748
2020-05-27,0.172106
2020-05-28,0.172231
2020-05-29,0.172177
2020-05-30,0.171643
2020-06-02,0.170579
2020-06-03,0.17147
2020-06-04,0.171193
2020-06-05,0.172213
2020-06-06,0.171363
2020-06-09,0.171831
2020-06-10,0.171665
2020-06-11,0.171565
2020-06-12,0.172695
2020-06-16,0.173406
2020-06-17,0.172546
2020-06-18,0.17175
2020-06-19,0.17164
2020-06-20,0.17225
2020-06-23,0.172435
2020-06-24,0.171556
2020-06-25,0.171257
2020-06-26,0.17171
2020-06-27,0.171681
2020-06-30,0.172845
2020-07-01,0.174099
2020-07-02,0.173349
2020-07-03,0.173372
2020-07-04,0.173344
2020-07-07,0.175261
2020-07-08,0.176048
2020-07-09,0.173516
2020-07-10,0.172288
2020-07-11,0.172279
2020-07-14,0.171737
2020-07-15,0.172136
2020-07-16,0.171488
2020-07-17,0.172491
2020-07-18,0.173074
2020-07-21,0.173233
2020-07-22,0.171768
2020-07-23,0.171553
2020-07-24,0.171707
2020-07-25,0.172761
2020-07-28,0.172606
2020-07-29,0.173267
2020-07-30,0.173026
2020-07-31,0.17462
2020-08-01,0.174086
2020-08-04,0.175969
2020-08-05,0.174807
2020-08-06,0.174965
2020-08-07,0.174536
2020-08-08,0.175461
2020-08-11,0.175705
2020-08-12,0.174784
2020-08-13,0.174461
2020-08-14,0.175513
2020-08-15,0.174414
2020-08-18,0.174447
2020-08-19,0.175411
2020-08-20,0.174992
2020-08-21,0.175968
2020-08-22,0.176563
2020-08-25,0.177174
2020-08-26,0.177779
2020-08-27,0.179878
2020-08-28,0.179179
2020-08-29,0.177566
2020-09-01,0.175623
2020-09-02,0.175813
2020-09-03,0.17632
2020-09-04,0.179284
2020-09-05,0.178606
2020-09-08,0.178538
2020-09-09,0.178997
2020-09-10,0.177762
2020-09-11,0.176842
2020-09-12,0.175287
2020-09-15,0.175062
2020-09-16,0.176048
2020-09-17,0.176263
2020-09-18,0.17737
2020-09-19,0.178291
2020-09-22,0.180147
2020-09-23,0.179846
2020-09-24,0.179472
2020-09-25,0.180664
2020-09-26,0.179973
2020-09-29,0.182769
2020-09-30,0.184609
2020-10-01,0.181995
2020-10-02,0.179803
2020-10-03,0.180435
2020-10-06,0.180875
2020-10-07,0.182463
2020-10-08,0.182058
2020-10-09,0.181817
2020-10-10,0.180209
2020-10-13,0.179946
2020-10-14,0.180052
2020-10-15,0.179988
2020-10-16,0.181824
2020-10-17,0.181697
2020-10-20,0.181879
2020-10-21,0.181347
2020-10-22,0.180007
2020-10-23,0.179869
2020-10-24,0.178832
2020-10-27,0.177844
2020-10-28,0.17787
2020-10-29,0.17996
2020-10-30,0.182276
2020-10-31,0.183154
2020-11-03,0.184892
2020-11-04,0.184591
2020-11-06,0.18134
2020-11-07,0.178491
2020-11-10,0.178587
2020-11-11,0.178067
2020-11-12,0.178351
2020-11-13,0.179612
2020-11-14,0.179749
2020-11-17,0.179116
2020-11-18,0.177874
2020-11-19,0.177507
2020-11-20,0.178022
2020-11-21,0.177499
2020-11-24,0.178242
2020-11-25,0.17856
2020-11-26,0.178427
2020-11-27,0.178314
2020-11-28,0.178898
2020-12-01,0.179066
2020-12-02,0.179286
2020-12-03,0.177755
2020-12-04,0.177802
2020-12-05,0.176335
2020-12-08,0.175995
2020-12-09,0.174931
2020-12-10,0.174521
2020-12-11,0.175322
2020-12-12,0.174472
2020-12-15,0.174209
2020-12-16,0.174832
2020-12-17,0.174918
2020-12-18,0.173865
2020-12-19,0.174669
2020-12-22,0.177626
2020-12-23,0.179089
2020-12-24,0.179088
2020-12-25,0.178341
2020-12-26,0.175629
2020-12-29,0.175397
2020-12-30,0.175148
2020-12-31,0.175481
