date,value
2019-01-10,0.178579
2019-01-11,0.178209
2019-01-12,0.177885
2019-01-15,0.177391
2019-01-16,0.177522
2019-01-17,0.176768
2019-01-18,0.176019
2019-01-19,0.174794
2019-01-22,0.175203
2019-01-23,0.175626
2019-01-24,0.175166
2019-01-25,0.174802
2019-01-26,0.173979
2019-01-29,0.173715
2019-01-30,0.174224
2019-01-31,0.173405
2019-02-01,0.171867
2019-02-02,0.171804
2019-02-05,0.171835
2019-02-06,0.173243
2019-02-07,0.174058
2019-02-08,0.174434
2019-02-09,0.174917
2019-02-12,0.174917
2019-02-13,0.175623
2019-02-14,0.175339
2019-02-15,0.176329
2019-02-16,0.176523
2019-02-19,0.175801
2019-02-20,0.175472
2019-02-21,0.175067
2019-02-22,0.174235
2019-02-23,0.173858
2019-02-26,0.173568
2019-02-27,0.173465
2019-02-28,0.174616
2019-03-01,0.175738
2019-03-02,0.174398
2019-03-05,0.17451
2019-03-06,0.174292
2019-03-07,0.174174
2019-03-08,0.173829
2019-03-12,0.174353
2019-03-13,0.173997
2019-03-14,0.173548
2019-03-15,0.173329
2019-03-16,0.172485
2019-03-19,0.171865
2019-03-20,0.170905
2019-03-21,0.169744
2019-03-22,0.16846
2019-03-23,0.168536
2019-03-26,0.170462
2019-03-27,0.169587
2019-03-28,0.170528
2019-03-29,0.169823
2019-03-30,0.170498
2019-04-02,0.172183
2019-04-03,0.172396
2019-04-04,0.171846
2019-04-05,0.172721
2019-04-06,0.172088
2019-04-09,0.171666
2019-04-10,0.170442
2019-04-11,0.170797
2019-04-12,0.170287
2019-04-13,0.169903
2019-04-16,0.169213
2019-04-17,0.169067
2019-04-18,0.168596
2019-04-19,0.168878
2019-04-20,0.16868
2019-04-23,0.169014
2019-04-24,0.168924
2019-04-25,0.168799
2019-04-26,0.170151
2019-04-27,0.169752
2019-04-30,0.169361
2019-05-01,0.169558
2019-05-07,0.171722
2019-05-08,0.171217
2019-05-09,0.171465
2019-05-14,0.172438
2019-05-15,0.171899
2019-05-16,0.170666
2019-05-17,0.170408
2019-05-18,0.170321
2019-05-21,0.170214
2019-05-22,0.170296
2019-05-23,0.169884
2019-05-24,0.170601
2019-05-25,0.17033
2019-05-28,0.16963
2019-05-29,0.169564
2019-05-30,0.169975
2019-05-31,0.170544
2019-06-01,0.170928
2019-06-04,0.170682
2019-06-05,0.169614
2019-06-06,0.169387
2019-06-07,0.169562
2019-06-08,0.169564
2019-06-11,0.169004
2019-06-12,0.167955
2019-06-14,0.168171
2019-06-15,0.167741
2019-06-18,0.16766
2019-06-19,0.167529
2019-06-20,0.167477
2019-06-21,0.166777
2019-06-22,0.166736
2019-06-25,0.166372
2019-06-26,0.165097
2019-06-27,0.165691
2019-06-28,0.16568
2019-06-29,0.165759
2019-07-02,0.165485
2019-07-03,0.165417
2019-07-04,0.165191
2019-07-05,0.165485
2019-07-06,0.165487
2019-07-09,0.16623
2019-07-10,0.16568
2019-07-11,0.165959
2019-07-12,0.164339
2019-07-13,0.164278
2019-07-16,0.164018
2019-07-17,0.164034
2019-07-18,0.163858
2019-07-19,0.163427
2019-07-20,0.163309
2019-07-23,0.163819
2019-07-24,0.164144
2019-07-25,0.164128
2019-07-26,0.164094
2019-07-27,0.163913
2019-07-30,0.164808
2019-07-31,0.164747
2019-08-01,0.164966
2019-08-02,0.165706
2019-08-03,0.167435
2019-08-06,0.168245
2019-08-07,0.16839
2019-08-08,0.16795
2019-08-09,0.167915
2019-08-10,0.168353
2019-08-13,0.168816
2019-08-14,0.169218
2019-08-15,0.168726
2019-08-16,0.170183
2019-08-17,0.170566
2019-08-20,0.17197
2019-08-21,0.172602
2019-08-22,0.171544
2019-08-23,0.169988
2019-08-24,0.169738
2019-08-27,0.170331
2019-08-28,0.170808
2019-08-29,0.171255
2019-08-30,0.172306
